# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.2% |              333.44 |        2,999,045.93 |    0.2% |        4,551.81 |          996.23 |  4.569 |         639.41 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               68.23 |       14,656,754.27 |    2.8% |          636.00 |          203.42 |  3.127 |          64.60 |    0.8% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               51.02 |       19,599,416.16 |    0.6% |          209.92 |          152.02 |  1.381 |          13.23 |    4.4% |      0.57 | `2d_bump deg=8 dim=2 N=1000000`
|    32.0% |               54.23 |       18,439,874.73 |    0.1% |          308.00 |          161.91 |  1.902 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              156.73 |        6,380,557.30 |    0.5% |        1,530.75 |          467.62 |  3.273 |         183.75 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               54.96 |       18,194,489.14 |    0.6% |          526.57 |          163.08 |  3.229 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               40.01 |       24,991,008.24 |    0.4% |          215.61 |          119.35 |  1.807 |          12.20 |    3.3% |      0.44 | `2d_bump deg=10 dim=2 N=1000000`
|    36.9% |               47.03 |       21,261,871.25 |    0.2% |          269.00 |          140.35 |  1.917 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |               85.27 |       11,727,161.20 |    2.2% |        1,060.84 |          254.63 |  4.166 |         130.34 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               45.26 |       22,092,990.85 |    0.6% |          460.76 |          134.60 |  3.423 |          38.84 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               26.64 |       37,537,537.54 |    1.4% |          190.47 |           79.33 |  2.401 |          11.79 |    0.0% |      0.29 | `2d_osc deg=8 dim=2 N=1000000`
|    46.5% |               37.37 |       26,758,014.37 |    1.3% |          237.00 |          111.10 |  2.133 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.2% |               46.43 |       21,536,417.48 |    2.4% |          482.94 |          138.77 |  3.480 |          45.09 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               19.58 |       51,085,195.15 |    1.4% |          184.63 |           58.49 |  3.156 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               19.39 |       51,564,670.63 |    0.5% |          156.03 |           57.77 |  2.701 |           9.75 |    0.0% |      0.21 | `2d_mq deg=8 dim=2 N=1000000`
|    20.5% |               84.54 |       11,829,133.44 |    0.1% |          536.00 |          251.79 |  2.129 |          31.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,402.50 |          713,014.92 |    1.6% |       18,363.91 |        4,191.38 |  4.381 |       2,571.34 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              283.80 |        3,523,554.02 |    7.5% |        2,024.81 |          842.94 |  2.402 |         188.36 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.9 iters. Increase `minEpochIterations` to e.g. 29)
|     0.0% |               57.79 |       17,304,219.88 |    1.1% |          366.13 |          171.91 |  2.130 |          18.03 |    0.3% |      0.64 | `3d_gauss deg=6 dim=3 N=1000000`
|    13.2% |              131.42 |        7,609,440.92 |    0.3% |          865.00 |          392.12 |  2.206 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
