# baobzi pack/scatter bench (nanobench, xsimd lane_w=8)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 4,600.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi pack/scatter
|     3.7% |                3.42 |      292,715,839.95 |    0.2% |           36.05 |           10.55 |  3.418 |           4.35 |    0.7% |      0.25 | `1d_runge eval_pack<1024> deg=10`
|     2.7% |                4.58 |      218,506,837.16 |    0.1% |           58.00 |           14.14 |  4.102 |           7.00 |    0.0% |      0.24 | `1d_runge scalar_loop<1024> deg=10`
|   102.3% |                3.91 |      255,568,035.40 |    0.0% |           54.00 |           12.09 |  4.468 |           7.00 |    0.0% |      0.24 | `1d_erf eval_pack<1> deg=8`
|   103.1% |                3.88 |      257,450,075.43 |    0.1% |           54.00 |           12.00 |  4.501 |           7.00 |    0.0% |      0.24 | `1d_erf scalar_loop<1> deg=8`
|    25.4% |                3.95 |      253,317,630.49 |    1.2% |           49.25 |           12.19 |  4.039 |           5.50 |    0.0% |      0.24 | `1d_erf eval_pack<4> deg=8`
|    24.7% |                4.05 |      246,818,848.96 |    2.4% |           55.25 |           12.52 |  4.415 |           7.50 |    0.0% |      0.24 | `1d_erf scalar_loop<4> deg=8`
|    12.5% |                4.00 |      250,063,244.60 |    2.9% |           48.63 |           12.35 |  3.937 |           5.25 |    0.0% |      0.24 | `1d_erf eval_pack<8> deg=8`
|    12.8% |                3.90 |      256,352,905.18 |    0.1% |           54.63 |           12.05 |  4.533 |           7.25 |    0.0% |      0.24 | `1d_erf scalar_loop<8> deg=8`
|     6.3% |                3.96 |      252,674,054.38 |    0.9% |           48.31 |           12.23 |  3.952 |           5.13 |    0.0% |      0.24 | `1d_erf eval_pack<16> deg=8`
|     6.4% |                3.89 |      256,898,265.86 |    0.0% |           54.31 |           12.02 |  4.518 |           7.13 |    0.0% |      0.23 | `1d_erf scalar_loop<16> deg=8`
|     3.3% |                3.82 |      261,825,301.69 |    0.1% |           51.44 |           11.80 |  4.360 |           7.06 |    0.0% |      0.24 | `1d_erf eval_pack<32> deg=8`
|     3.2% |                3.89 |      257,040,323.01 |    0.1% |           54.16 |           12.02 |  4.506 |           7.06 |    0.0% |      0.24 | `1d_erf scalar_loop<32> deg=8`
|     3.2% |                3.85 |      259,470,003.67 |    0.3% |           51.34 |           11.91 |  4.312 |           7.03 |    0.0% |      0.24 | `1d_erf eval_pack<64> deg=8`
|     3.2% |                3.89 |      257,152,086.55 |    0.0% |           54.08 |           12.01 |  4.502 |           7.03 |    0.0% |      0.24 | `1d_erf scalar_loop<64> deg=8`
|     3.0% |                4.16 |      240,637,109.04 |    2.5% |           51.71 |           12.84 |  4.028 |           7.16 |    0.1% |      0.25 | `1d_erf eval_pack<128> deg=8`
|     3.2% |                3.90 |      256,418,647.80 |    0.0% |           54.04 |           12.05 |  4.485 |           7.02 |    0.1% |      0.24 | `1d_erf scalar_loop<128> deg=8`
|     2.9% |                4.28 |      233,720,682.46 |    1.6% |           51.56 |           13.22 |  3.901 |           7.13 |    0.1% |      0.24 | `1d_erf eval_pack<256> deg=8`
|     3.2% |                3.92 |      254,907,954.72 |    0.8% |           54.02 |           12.12 |  4.458 |           7.01 |    0.1% |      0.24 | `1d_erf scalar_loop<256> deg=8`
|     3.7% |                3.36 |      297,943,077.34 |    1.4% |           36.37 |           10.37 |  3.509 |           4.53 |    0.7% |      0.24 | `1d_erf eval_pack<1024> deg=8`
