# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|    28.3% |               97.83 |       10,221,702.08 |    0.1% |          273.00 |          291.93 |  0.935 |          29.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              586.52 |        1,704,959.84 |    0.1% |        4,545.10 |        1,749.93 |  2.597 |         639.62 |    0.1% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |              123.43 |        8,101,500.83 |    0.7% |          627.90 |          367.50 |  1.709 |          64.61 |    1.0% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |              123.55 |        8,093,942.05 |    0.5% |          201.77 |          366.99 |  0.550 |          13.23 |    4.4% |      1.30 | `2d_bump deg=8 dim=2 N=1000000`
|    28.2% |               98.20 |       10,183,130.17 |    0.1% |          301.00 |          292.80 |  1.028 |          29.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              275.94 |        3,623,920.87 |    1.5% |        1,523.85 |          823.43 |  1.851 |         183.94 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               97.82 |       10,222,700.92 |    2.1% |          518.51 |          291.33 |  1.780 |          43.43 |    0.2% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |              124.53 |        8,030,303.15 |    2.0% |          207.49 |          369.09 |  0.562 |          12.20 |    3.4% |      1.19 | `2d_bump deg=10 dim=2 N=1000000`
|    30.1% |               91.81 |       10,891,629.11 |    0.2% |          259.00 |          273.64 |  0.947 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |              152.33 |        6,564,778.69 |    0.4% |        1,060.50 |          453.59 |  2.338 |         132.03 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               79.29 |       12,612,354.84 |    0.9% |          453.84 |          236.27 |  1.921 |          38.86 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               79.22 |       12,622,515.87 |    1.6% |          183.47 |          234.89 |  0.781 |          11.79 |    0.0% |      0.79 | `2d_osc deg=8 dim=2 N=1000000`
|    37.6% |               73.53 |       13,600,076.43 |    0.0% |          231.00 |          219.29 |  1.053 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.1% |               76.86 |       13,010,440.13 |    0.6% |          478.25 |          229.37 |  2.085 |          45.31 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               29.66 |       33,720,318.59 |    0.1% |          178.73 |           88.49 |  2.020 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               35.17 |       28,431,609.23 |    0.7% |          150.03 |          104.78 |  1.432 |           9.75 |    0.0% |      0.50 | `2d_mq deg=8 dim=2 N=1000000`
|    34.6% |               79.91 |       12,514,191.66 |    0.9% |          557.00 |          238.05 |  2.340 |          36.25 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.1% |            1,132.51 |          882,996.12 |    1.6% |       18,366.85 |        3,384.73 |  5.426 |       2,571.64 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              318.12 |        3,143,453.85 |   23.8% |        2,025.89 |          945.14 |  2.143 |         188.37 |    1.7% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.5 iters. Increase `minEpochIterations` to e.g. 25)
|     0.0% |              214.41 |        4,664,056.13 |    4.5% |          365.26 |          633.89 |  0.576 |          18.03 |    0.3% |      2.26 | `3d_gauss deg=6 dim=3 N=1000000`
|    10.0% |              275.91 |        3,624,391.55 |   12.8% |          873.00 |          818.17 |  1.067 |          34.25 |    0.0% |      0.01 | :wavy_dash: `3d_gauss deg=8 dim=3 N=1` (Unstable with ~3,850.8 iters. Increase `minEpochIterations` to e.g. 38508)
|     0.2% |              415.21 |        2,408,415.50 |    0.6% |        2,583.69 |        1,239.19 |  2.085 |         211.35 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              287.32 |        3,480,427.27 |    0.9% |        1,704.58 |          856.95 |  1.989 |         115.22 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |              223.40 |        4,476,360.04 |    0.5% |          418.41 |          659.60 |  0.634 |          11.99 |    0.0% |      2.47 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.4% |              375.18 |        2,665,417.49 |    0.4% |        1,416.00 |        1,116.89 |  1.268 |          33.25 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              673.42 |        1,484,958.17 |    1.0% |        3,748.54 |        2,009.30 |  1.866 |         246.57 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |              145.09 |        6,892,413.73 |    0.1% |          929.49 |          433.14 |  2.146 |          32.33 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |              101.90 |        9,813,967.42 |    8.0% |          641.73 |          303.63 |  2.114 |          10.89 |    0.0% |      1.72 | :wavy_dash: `3d_gauss deg=10 dim=3 N=1000000` (Unstable with ~1.0 iters. Increase `minEpochIterations` to e.g. 10)
|    14.7% |              188.36 |        5,308,862.01 |    0.1% |          873.00 |          561.86 |  1.554 |          34.25 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.3% |              322.18 |        3,103,892.94 |    0.5% |        2,608.91 |          960.72 |  2.716 |         215.07 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              219.50 |        4,555,788.39 |    1.5% |        1,491.02 |          654.93 |  2.277 |          98.32 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |              235.13 |        4,253,054.50 |    1.1% |          417.51 |          693.55 |  0.602 |          11.84 |    2.1% |      2.59 | `3d_yukawa deg=8 dim=3 N=1000000`
|    13.6% |              203.10 |        4,923,736.77 |    0.1% |          873.00 |          605.96 |  1.441 |          34.25 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              405.52 |        2,465,940.19 |    1.5% |        2,752.79 |        1,211.34 |  2.273 |         246.35 |    0.3% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              343.22 |        2,913,615.84 |    2.1% |        1,717.52 |        1,023.39 |  1.678 |         121.36 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |              237.55 |        4,209,605.25 |    0.4% |          421.90 |          700.90 |  0.602 |          12.21 |    1.6% |      2.61 | `3d_imq deg=8 dim=3 N=1000000`
