# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|    24.3% |               58.78 |       17,012,633.46 |    0.1% |          275.00 |          175.47 |  1.567 |          29.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              355.65 |        2,811,736.97 |    0.3% |        4,543.60 |        1,061.76 |  4.279 |         638.81 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               75.49 |       13,247,642.95 |    1.7% |          627.34 |          224.59 |  2.793 |          64.63 |    1.0% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               54.68 |       18,288,056.83 |    0.5% |          199.77 |          163.00 |  1.226 |          13.24 |    4.4% |      0.61 | `2d_bump deg=8 dim=2 N=1000000`
|    24.1% |               59.28 |       16,870,078.04 |    0.3% |          302.00 |          176.62 |  1.710 |          29.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              168.49 |        5,935,232.13 |    0.7% |        1,523.88 |          501.84 |  3.037 |         184.91 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               57.73 |       17,320,659.71 |    1.4% |          516.01 |          172.46 |  2.992 |          43.61 |    0.4% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               50.47 |       19,812,599.36 |    2.0% |          204.49 |          150.24 |  1.361 |          12.21 |    3.3% |      0.56 | `2d_bump deg=10 dim=2 N=1000000`
|    22.0% |               65.07 |       15,369,008.71 |    2.3% |          261.00 |          183.54 |  1.422 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.4% |              101.55 |        9,847,636.83 |    0.9% |        1,055.16 |          302.82 |  3.484 |         130.47 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               50.49 |       19,807,707.54 |    0.4% |          451.06 |          150.28 |  3.001 |          39.10 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               31.72 |       31,521,401.23 |    1.5% |          180.47 |           93.79 |  1.924 |          11.80 |    0.0% |      0.35 | `2d_osc deg=8 dim=2 N=1000000`
|    31.0% |               46.12 |       21,684,014.82 |    0.1% |          233.00 |          137.60 |  1.693 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     0.9% |               50.08 |       19,968,180.20 |    0.8% |          478.25 |          146.82 |  3.257 |          45.53 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               18.82 |       53,146,560.33 |    0.1% |          177.73 |           56.16 |  3.165 |          12.54 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               22.06 |       45,333,918.08 |    0.8% |          149.03 |           65.42 |  2.278 |           9.75 |    0.0% |      0.24 | `2d_mq deg=8 dim=2 N=1000000`
|    12.9% |              110.94 |        9,013,875.96 |    0.1% |          544.00 |          330.79 |  1.645 |          32.25 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,461.41 |          684,269.77 |    0.2% |       18,362.83 |        4,363.46 |  4.208 |       2,570.64 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              287.84 |        3,474,185.62 |   11.0% |        2,021.92 |          831.72 |  2.431 |         187.39 |    1.4% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.9 iters. Increase `minEpochIterations` to e.g. 29)
|     0.0% |               61.69 |       16,209,212.70 |    0.6% |          362.35 |          183.81 |  1.971 |          18.03 |    0.3% |      0.69 | `3d_gauss deg=6 dim=3 N=1000000`
|    10.1% |              141.53 |        7,065,799.15 |    0.0% |          860.00 |          422.83 |  2.034 |          30.25 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              261.78 |        3,819,974.35 |    1.3% |        2,650.16 |          780.17 |  3.397 |         209.76 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              170.51 |        5,864,805.91 |    0.9% |        1,747.05 |          505.93 |  3.453 |         113.47 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               43.55 |       22,964,066.17 |    2.4% |          417.46 |          129.72 |  3.218 |          11.99 |    0.0% |      0.48 | `3d_gauss deg=8 dim=3 N=1000000`
|     6.5% |              220.27 |        4,539,963.10 |    0.5% |        1,403.00 |          657.10 |  2.135 |          29.25 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              402.28 |        2,485,830.19 |    1.4% |        3,747.69 |        1,199.47 |  3.124 |         245.67 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               89.72 |       11,145,764.87 |    0.8% |          929.63 |          265.97 |  3.495 |          32.33 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               62.60 |       15,974,333.46 |    1.4% |          641.73 |          186.69 |  3.437 |          10.89 |    0.0% |      0.69 | `3d_gauss deg=10 dim=3 N=1000000`
|     9.7% |              146.76 |        6,813,828.13 |    0.1% |          860.00 |          438.06 |  1.963 |          30.25 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              259.58 |        3,852,434.99 |    0.4% |        2,662.38 |          775.00 |  3.435 |         211.01 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              156.87 |        6,374,548.29 |    2.0% |        1,524.41 |          467.50 |  3.261 |          96.90 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               49.17 |       20,338,809.17 |    1.3% |          414.57 |          146.64 |  2.827 |          11.84 |    2.1% |      0.55 | `3d_yukawa deg=8 dim=3 N=1000000`
|    10.7% |              134.28 |        7,447,322.57 |    0.1% |          860.00 |          400.80 |  2.146 |          30.25 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              272.93 |        3,664,001.46 |    0.7% |        2,887.32 |          813.08 |  3.551 |         243.66 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              214.75 |        4,656,594.36 |    5.1% |        1,815.53 |          623.25 |  2.913 |         119.45 |    0.6% |      0.01 | :wavy_dash: `3d_imq deg=8 dim=3 N=1024` (Unstable with ~4.6 iters. Increase `minEpochIterations` to e.g. 46)
|     0.0% |               49.67 |       20,134,848.31 |    1.0% |          425.09 |          147.91 |  2.874 |          12.21 |    1.6% |      0.55 | `3d_imq deg=8 dim=3 N=1000000`
