# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|    40.6% |               65.25 |       15,326,757.96 |    0.4% |          274.00 |          194.28 |  1.410 |          30.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.2% |              394.37 |        2,535,692.41 |    0.9% |        4,543.16 |        1,177.22 |  3.859 |         639.62 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               78.56 |       12,729,340.79 |    0.9% |          625.90 |          234.24 |  2.672 |          64.61 |    0.8% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               60.26 |       16,593,545.82 |    0.8% |          199.77 |          179.54 |  1.113 |          13.23 |    4.4% |      0.66 | `2d_bump deg=8 dim=2 N=1000000`
|    41.3% |               64.12 |       15,596,449.19 |    0.5% |          301.00 |          191.32 |  1.573 |          29.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.5% |              175.91 |        5,684,851.23 |    2.2% |        1,524.19 |          524.33 |  2.907 |         185.06 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               60.98 |       16,398,069.54 |    2.0% |          517.51 |          182.04 |  2.843 |          43.43 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               46.92 |       21,313,904.60 |    0.4% |          206.49 |          139.77 |  1.477 |          12.20 |    3.3% |      0.52 | `2d_bump deg=10 dim=2 N=1000000`
|    45.5% |               58.12 |       17,205,878.15 |    0.1% |          260.00 |          173.37 |  1.500 |          29.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.8% |              100.00 |        9,999,873.05 |    0.4% |        1,052.22 |          298.61 |  3.524 |         130.56 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.1% |               49.12 |       20,357,679.43 |    0.7% |          450.80 |          146.47 |  3.078 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               31.47 |       31,778,025.66 |    2.2% |          180.47 |           93.80 |  1.924 |          11.79 |    0.0% |      0.35 | `2d_osc deg=8 dim=2 N=1000000`
|    57.6% |               45.91 |       21,782,019.63 |    0.1% |          232.00 |          137.03 |  1.693 |          27.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.7% |               48.54 |       20,599,567.71 |    1.4% |          477.31 |          144.86 |  3.295 |          45.31 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               19.53 |       51,215,167.57 |    0.3% |          177.73 |           58.24 |  3.052 |          12.51 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               23.29 |       42,940,332.39 |    0.8% |          149.03 |           69.36 |  2.149 |           9.75 |    0.0% |      0.26 | `2d_mq deg=8 dim=2 N=1000000`
|    27.5% |               96.13 |       10,402,285.55 |    1.8% |          544.00 |          286.16 |  1.901 |          32.25 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.1% |            1,388.81 |          720,041.40 |    4.2% |       18,361.76 |        4,150.61 |  4.424 |       2,571.64 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              257.72 |        3,880,114.32 |    6.2% |        2,020.88 |          759.40 |  2.661 |         188.37 |    1.7% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~3.5 iters. Increase `minEpochIterations` to e.g. 35)
|     0.0% |               58.52 |       17,088,644.25 |    1.5% |          360.26 |          174.30 |  2.067 |          18.03 |    0.3% |      0.65 | `3d_gauss deg=6 dim=3 N=1000000`
|    19.6% |              135.10 |        7,402,046.23 |    0.3% |          860.00 |          401.94 |  2.140 |          30.25 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.3% |              274.15 |        3,647,622.16 |    2.5% |        2,643.60 |          817.52 |  3.234 |         209.35 |    0.1% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              205.14 |        4,874,695.57 |    0.4% |        1,745.93 |          608.46 |  2.869 |         113.82 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               51.11 |       19,567,401.54 |    1.2% |          416.46 |          152.41 |  2.733 |          11.99 |    0.0% |      0.56 | `3d_gauss deg=8 dim=3 N=1000000`
|    11.9% |              222.38 |        4,496,739.86 |    0.3% |        1,416.00 |          662.91 |  2.136 |          33.25 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.2% |              442.14 |        2,261,729.85 |    4.6% |        3,748.44 |        1,320.97 |  2.838 |         246.57 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |              102.03 |        9,800,581.14 |    1.2% |          929.42 |          303.48 |  3.063 |          32.33 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               63.76 |       15,683,616.04 |    3.2% |          641.73 |          189.90 |  3.379 |          10.89 |    0.0% |      0.71 | `3d_gauss deg=10 dim=3 N=1000000`
|    19.5% |              135.90 |        7,358,243.53 |    0.5% |          860.00 |          403.80 |  2.130 |          30.25 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.3% |              279.63 |        3,576,125.48 |    3.0% |        2,662.13 |          835.13 |  3.188 |         211.95 |    0.1% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              178.74 |        5,594,716.34 |    2.6% |        1,523.32 |          529.81 |  2.875 |          97.20 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               50.79 |       19,688,850.40 |    1.4% |          413.57 |          151.25 |  2.734 |          11.84 |    2.2% |      0.56 | `3d_yukawa deg=8 dim=3 N=1000000`
|    19.2% |              137.92 |        7,250,800.90 |    0.7% |          860.00 |          411.02 |  2.092 |          30.25 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.3% |              305.84 |        3,269,708.59 |    4.4% |        2,885.28 |          911.96 |  3.164 |         244.70 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              225.39 |        4,436,734.08 |    2.8% |        1,812.51 |          664.01 |  2.730 |         119.87 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               54.46 |       18,363,457.15 |    2.1% |          422.08 |          162.27 |  2.601 |          12.21 |    1.6% |      0.60 | `3d_imq deg=8 dim=3 N=1000000`
