# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.0% |              232.85 |        4,294,581.75 |    1.2% |          251.34 |          690.41 |  0.364 |          18.71 |    4.7% |      2.58 | `2d_bump deg=6 dim=2 N=1000000`
|    28.4% |               97.67 |       10,238,519.41 |    0.1% |          257.00 |          291.60 |  0.881 |          25.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              586.05 |        1,706,349.72 |    0.3% |        4,542.97 |        1,748.49 |  2.598 |         639.41 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |              117.71 |        8,495,214.99 |    1.1% |          626.86 |          351.07 |  1.786 |          64.60 |    0.8% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               95.44 |       10,477,593.00 |    1.9% |          200.77 |          284.50 |  0.706 |          13.23 |    4.5% |      1.17 | `2d_bump deg=8 dim=2 N=1000000`
|    27.9% |               99.15 |       10,085,448.27 |    0.4% |          298.00 |          295.73 |  1.008 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              275.95 |        3,623,892.78 |    0.5% |        1,526.16 |          823.63 |  1.853 |         185.53 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               94.73 |       10,556,548.67 |    0.8% |          515.51 |          282.46 |  1.825 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |              121.47 |        8,232,206.10 |    1.5% |          204.49 |          359.97 |  0.568 |          12.20 |    3.3% |      1.11 | `2d_bump deg=10 dim=2 N=1000000`
|    30.7% |               90.20 |       11,085,980.15 |    0.2% |          258.00 |          269.22 |  0.958 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |              152.90 |        6,540,066.94 |    0.3% |        1,053.03 |          456.06 |  2.309 |         130.34 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               76.36 |       13,095,933.01 |    0.3% |          452.76 |          227.31 |  1.992 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               79.95 |       12,508,394.38 |    0.9% |          182.47 |          236.90 |  0.770 |          11.79 |    0.0% |      0.82 | `2d_osc deg=8 dim=2 N=1000000`
|    37.1% |               74.71 |       13,385,436.78 |    1.5% |          230.00 |          222.25 |  1.035 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
