# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|    28.7% |               52.77 |       18,949,552.46 |    0.5% |          262.00 |          157.50 |  1.663 |          25.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              329.94 |        3,030,861.54 |    0.2% |        4,542.10 |          984.64 |  4.613 |         639.44 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               69.00 |       14,492,010.11 |    1.7% |          625.86 |          204.76 |  3.057 |          64.61 |    0.9% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               51.56 |       19,393,113.83 |    2.8% |          199.77 |          152.52 |  1.310 |          13.23 |    4.4% |      0.57 | `2d_bump deg=8 dim=2 N=1000000`
|    28.3% |               53.58 |       18,664,765.42 |    0.2% |          302.00 |          159.88 |  1.889 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              151.55 |        6,598,374.63 |    0.3% |        1,527.16 |          452.50 |  3.375 |         185.53 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               52.28 |       19,127,353.81 |    1.0% |          516.51 |          155.83 |  3.314 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               41.09 |       24,334,613.79 |    1.3% |          205.49 |          122.53 |  1.677 |          12.20 |    3.4% |      0.45 | `2d_bump deg=10 dim=2 N=1000000`
|    30.2% |               50.26 |       19,898,068.31 |    0.3% |          262.00 |          149.88 |  1.748 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.5% |               87.97 |       11,367,917.61 |    0.3% |        1,053.16 |          262.40 |  4.014 |         130.38 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               48.55 |       20,597,333.16 |    0.6% |          452.77 |          144.52 |  3.133 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
