# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.2% |              422.38 |        2,367,564.37 |    0.5% |        4,549.78 |        1,259.77 |  3.612 |         639.44 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               89.30 |       11,198,298.72 |    1.8% |          634.00 |          266.18 |  2.382 |          64.61 |    0.8% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               67.87 |       14,733,583.66 |    0.5% |          207.93 |          202.18 |  1.028 |          13.23 |    4.4% |      0.75 | `2d_bump deg=8 dim=2 N=1000000`
|    34.9% |               73.24 |       13,654,527.17 |    0.3% |          307.00 |          218.29 |  1.406 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.4% |              204.01 |        4,901,716.87 |    1.5% |        1,536.13 |          609.06 |  2.522 |         185.59 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               71.86 |       13,915,195.91 |    2.2% |          525.61 |          213.68 |  2.460 |          43.42 |    0.5% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               55.51 |       18,015,927.85 |    0.6% |          214.61 |          165.51 |  1.297 |          12.20 |    3.5% |      0.61 | `2d_bump deg=10 dim=2 N=1000000`
|    38.2% |               66.92 |       14,942,927.66 |    0.4% |          253.00 |          199.79 |  1.266 |          24.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.7% |              115.68 |        8,644,839.23 |    1.8% |        1,055.81 |          344.81 |  3.062 |         130.37 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               56.97 |       17,554,591.93 |    0.3% |          455.76 |          169.92 |  2.682 |          38.84 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               36.26 |       27,582,328.63 |    0.3% |          185.47 |          107.86 |  1.719 |          11.79 |    0.0% |      0.40 | `2d_osc deg=8 dim=2 N=1000000`
|    46.4% |               55.04 |       18,168,877.81 |    0.2% |          223.00 |          164.13 |  1.359 |          22.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.4% |               57.37 |       17,431,392.87 |    0.4% |          480.44 |          171.28 |  2.805 |          45.22 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               22.98 |       43,522,905.65 |    0.3% |          182.67 |           68.57 |  2.664 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               26.64 |       37,530,900.60 |    2.7% |          154.03 |           79.41 |  1.940 |           9.75 |    0.0% |      0.29 | `2d_mq deg=8 dim=2 N=1000000`
|    25.6% |               99.77 |       10,023,004.33 |    0.3% |          534.00 |          297.38 |  1.796 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,612.23 |          620,260.49 |    1.4% |       18,366.26 |        4,816.39 |  3.813 |       2,571.72 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              309.79 |        3,227,955.44 |   10.7% |        2,025.42 |          923.25 |  2.194 |         188.31 |    1.9% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.7 iters. Increase `minEpochIterations` to e.g. 27)
|     0.0% |               72.19 |       13,852,268.49 |    2.7% |          367.10 |          214.84 |  1.709 |          18.03 |    0.3% |      0.80 | `3d_gauss deg=6 dim=3 N=1000000`
|    15.7% |              163.20 |        6,127,450.98 |    0.4% |          848.00 |          486.13 |  1.744 |          31.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              329.92 |        3,031,046.12 |    2.3% |        2,583.85 |          979.96 |  2.637 |         213.06 |    0.1% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              222.44 |        4,495,660.63 |    0.3% |        1,706.43 |          662.71 |  2.575 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               62.29 |       16,052,932.04 |    0.5% |          421.41 |          185.62 |  2.270 |          11.99 |    0.0% |      0.68 | `3d_gauss deg=8 dim=3 N=1000000`
|     9.3% |              274.16 |        3,647,525.62 |    0.4% |        1,390.00 |          816.20 |  1.703 |          30.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
