# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|    32.3% |               54.53 |       18,339,582.01 |    1.7% |          285.00 |          162.78 |  1.751 |          29.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.2% |              357.98 |        2,793,423.81 |    2.8% |        4,551.81 |        1,069.06 |  4.258 |         639.41 |    0.1% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               77.18 |       12,956,928.34 |    3.6% |          636.00 |          229.38 |  2.773 |          64.60 |    0.8% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               53.28 |       18,769,907.36 |    0.4% |          209.92 |          158.10 |  1.328 |          13.23 |    4.4% |      0.59 | `2d_bump deg=8 dim=2 N=1000000`
|    31.8% |               55.31 |       18,078,508.73 |    1.2% |          308.00 |          165.17 |  1.865 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              170.55 |        5,863,409.07 |    2.8% |        1,530.75 |          509.62 |  3.004 |         183.75 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               61.31 |       16,311,474.04 |    1.3% |          526.57 |          183.12 |  2.876 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               43.79 |       22,833,999.36 |    1.2% |          215.61 |          130.07 |  1.658 |          12.20 |    3.3% |      0.48 | `2d_bump deg=10 dim=2 N=1000000`
|    34.5% |               51.01 |       19,603,549.47 |    0.2% |          269.00 |          152.22 |  1.767 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |               90.44 |       11,056,507.02 |    1.8% |        1,060.84 |          268.69 |  3.948 |         130.34 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               50.09 |       19,962,570.18 |    2.6% |          460.76 |          148.55 |  3.102 |          38.84 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               29.18 |       34,273,028.96 |    0.7% |          190.47 |           86.94 |  2.191 |          11.79 |    0.0% |      0.32 | `2d_osc deg=8 dim=2 N=1000000`
|    41.8% |               42.14 |       23,732,678.15 |    0.3% |          237.00 |          125.78 |  1.884 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.1% |               49.23 |       20,312,193.13 |    3.4% |          482.94 |          146.39 |  3.299 |          45.09 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               20.23 |       49,420,849.42 |    1.4% |          184.63 |           60.30 |  3.062 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               21.71 |       46,065,603.59 |    1.7% |          156.03 |           64.66 |  2.413 |           9.75 |    0.0% |      0.24 | `2d_mq deg=8 dim=2 N=1000000`
|    20.7% |               85.15 |       11,743,988.86 |    0.2% |          536.00 |          253.90 |  2.111 |          31.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,427.24 |          700,654.59 |    0.3% |       18,363.92 |        4,246.12 |  4.325 |       2,571.34 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              284.90 |        3,510,038.80 |    9.2% |        2,024.81 |          844.21 |  2.398 |         188.36 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.9 iters. Increase `minEpochIterations` to e.g. 29)
|     0.0% |               60.59 |       16,504,650.69 |    1.6% |          366.13 |          180.73 |  2.026 |          18.03 |    0.3% |      0.67 | `3d_gauss deg=6 dim=3 N=1000000`
|    12.9% |              136.42 |        7,330,438.92 |    0.3% |          865.00 |          403.61 |  2.143 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              262.26 |        3,813,035.82 |    4.1% |        2,581.75 |          782.93 |  3.298 |         211.06 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              190.87 |        5,239,240.75 |    0.7% |        1,704.81 |          566.72 |  3.008 |         115.21 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               47.16 |       21,206,496.09 |    0.7% |          420.41 |          139.94 |  3.004 |          11.99 |    0.0% |      0.52 | `3d_gauss deg=8 dim=3 N=1000000`
