# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               14.52 |       68,866,325.12 |    0.3% |          147.00 |           43.37 |  3.390 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.2% |               20.61 |       48,527,465.20 |    0.7% |          258.13 |           61.59 |  4.191 |          36.66 |    0.1% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               17.09 |       58,512,968.54 |    0.9% |          120.02 |           51.01 |  2.353 |          12.89 |    1.6% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               28.73 |       34,802,302.56 |    0.6% |          110.15 |           85.66 |  1.286 |          11.52 |    4.0% |      0.32 | `1d_runge deg=6 dim=1 N=1000000`
|   122.3% |               11.87 |       84,236,033.26 |    0.4% |          130.00 |           35.47 |  3.666 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.0% |               15.10 |       66,235,339.30 |    0.8% |          189.72 |           44.94 |  4.221 |          25.60 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               10.51 |       95,179,959.44 |    0.2% |          100.12 |           31.40 |  3.189 |          10.38 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               29.10 |       34,369,035.04 |    0.3% |           95.67 |           86.82 |  1.102 |           9.85 |    7.2% |      0.32 | `1d_runge deg=8 dim=1 N=1000000`
|   111.5% |               13.03 |       76,767,406.79 |    8.5% |          129.00 |           38.92 |  3.314 |          17.25 |    0.0% |      0.01 | :wavy_dash: `1d_runge deg=10 dim=1 N=1` (Unstable with ~81,641.0 iters. Increase `minEpochIterations` to e.g. 816410)
|     4.0% |               11.37 |       87,977,707.01 |    0.5% |          154.25 |           33.90 |  4.550 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |                8.58 |      116,614,160.32 |    1.8% |           92.02 |           25.58 |  3.597 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               24.96 |       40,064,969.35 |    0.7% |           89.05 |           74.42 |  1.197 |           9.16 |    5.8% |      0.27 | `1d_runge deg=10 dim=1 N=1000000`
|   120.4% |               12.06 |       82,943,655.38 |    0.2% |          130.00 |           35.97 |  3.614 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.4% |               13.39 |       74,662,218.63 |    0.4% |          163.84 |           40.00 |  4.096 |          21.48 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               10.44 |       95,760,657.61 |    0.8% |           93.76 |           31.20 |  3.006 |           9.78 |    0.8% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               19.88 |       50,291,008.92 |    0.9% |           90.72 |           59.35 |  1.529 |           9.41 |    3.2% |      0.22 | `1d_erf deg=8 dim=1 N=1000000`
|    91.3% |               15.91 |       62,862,043.79 |    0.3% |          148.00 |           47.42 |  3.121 |          19.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     2.1% |               21.56 |       46,382,817.34 |    0.5% |          239.72 |           64.40 |  3.722 |          33.60 |    0.2% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               15.64 |       63,957,726.57 |    0.4% |          114.35 |           46.59 |  2.454 |          12.12 |    0.9% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               18.68 |       53,530,471.07 |    0.3% |          106.62 |           55.73 |  1.913 |          11.18 |    1.1% |      0.21 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   163.2% |                8.90 |      112,413,092.13 |    0.1% |          111.00 |           26.57 |  4.178 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     4.4% |               10.28 |       97,282,319.43 |    0.5% |          138.38 |           30.67 |  4.511 |          17.60 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |                8.13 |      123,013,890.91 |    1.7% |           85.84 |           24.15 |  3.554 |           8.84 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               27.59 |       36,240,303.36 |    0.7% |           82.04 |           82.31 |  0.997 |           8.38 |   11.6% |      0.31 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
