# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|   105.4% |               13.78 |       72,566,767.47 |    0.2% |          139.00 |           41.09 |  3.383 |          18.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     4.0% |               11.41 |       87,637,775.83 |    0.2% |          145.03 |           34.08 |  4.256 |          18.48 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.2% |                8.76 |      114,150,826.24 |    0.8% |           88.70 |           26.06 |  3.403 |           9.24 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
|     0.0% |               31.52 |       31,725,294.48 |    0.2% |           85.86 |           94.02 |  0.913 |           8.87 |   10.4% |      0.35 | `1d_log1p deg=8 dim=1 N=1000000`
|    36.2% |               40.06 |       24,963,768.27 |    1.3% |          255.00 |          119.44 |  2.135 |          27.00 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=1`
|     0.0% |            3,975.88 |          251,516.52 |    0.8% |       57,652.37 |       11,870.08 |  4.857 |       8,386.53 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=32`
|     0.0% |              237.99 |        4,201,870.32 |    3.4% |        2,288.10 |          709.16 |  3.226 |         312.72 |    0.8% |      0.01 | `2d_bump deg=6 dim=2 N=1024`
|     0.0% |               95.45 |       10,476,260.22 |    2.2% |          251.34 |          284.67 |  0.883 |          18.71 |    4.7% |      1.05 | `2d_bump deg=6 dim=2 N=1000000`
|    28.3% |               51.33 |       19,483,621.04 |    0.1% |          257.00 |          153.24 |  1.677 |          25.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              311.46 |        3,210,677.80 |    0.4% |        4,542.97 |          929.19 |  4.889 |         639.41 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               60.84 |       16,435,497.89 |    1.4% |          626.86 |          181.51 |  3.454 |          64.60 |    0.7% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               47.95 |       20,855,391.82 |    1.5% |          200.77 |          143.02 |  1.404 |          13.23 |    4.5% |      0.52 | `2d_bump deg=8 dim=2 N=1000000`
|    29.5% |               49.19 |       20,330,843.95 |    0.1% |          298.00 |          146.96 |  2.028 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              137.02 |        7,297,942.55 |    2.5% |        1,526.16 |          407.98 |  3.741 |         185.53 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               50.58 |       19,769,357.50 |    2.0% |          515.51 |          151.14 |  3.411 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               37.07 |       26,978,623.73 |    0.2% |          204.49 |          110.28 |  1.854 |          12.20 |    3.3% |      0.41 | `2d_bump deg=10 dim=2 N=1000000`
|    32.6% |               44.55 |       22,447,763.33 |    2.8% |          258.00 |          133.08 |  1.939 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |               82.45 |       12,129,111.20 |    2.7% |        1,053.03 |          246.31 |  4.275 |         130.34 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               43.26 |       23,116,008.96 |    0.3% |          452.76 |          128.67 |  3.519 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               25.07 |       39,887,873.59 |    0.4% |          182.47 |           74.63 |  2.445 |          11.79 |    0.0% |      0.28 | `2d_osc deg=8 dim=2 N=1000000`
|    40.7% |               35.69 |       28,021,649.34 |    0.2% |          230.00 |          106.66 |  2.156 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.0% |               43.46 |       23,008,845.04 |    2.4% |          475.66 |          129.88 |  3.662 |          45.19 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               16.95 |       58,992,471.75 |    2.0% |          177.68 |           50.63 |  3.509 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               17.16 |       58,282,340.17 |    0.2% |          149.03 |           51.03 |  2.921 |           9.75 |    0.0% |      0.19 | `2d_mq deg=8 dim=2 N=1000000`
|    18.8% |               77.24 |       12,946,095.73 |    0.1% |          540.00 |          230.53 |  2.342 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,240.10 |          806,385.04 |    0.4% |       18,360.23 |        3,693.08 |  4.972 |       2,571.69 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              257.77 |        3,879,496.92 |    7.1% |        2,019.42 |          768.96 |  2.626 |         188.31 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~3.5 iters. Increase `minEpochIterations` to e.g. 35)
|     0.0% |               54.91 |       18,212,592.83 |    0.6% |          361.13 |          163.74 |  2.206 |          18.03 |    0.3% |      0.61 | `3d_gauss deg=6 dim=3 N=1000000`
|    11.4% |              127.29 |        7,856,264.71 |    0.0% |          857.00 |          380.37 |  2.253 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              223.86 |        4,467,177.26 |    1.2% |        2,579.81 |          667.35 |  3.866 |         213.03 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              160.56 |        6,228,169.26 |    0.8% |        1,702.51 |          477.83 |  3.563 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               42.85 |       23,339,802.50 |    0.5% |          417.41 |          127.86 |  3.265 |          11.99 |    0.0% |      0.47 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.0% |              207.08 |        4,829,158.25 |    0.1% |        1,400.00 |          618.71 |  2.263 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              366.86 |        2,725,801.41 |    0.2% |        3,745.06 |        1,095.07 |  3.420 |         246.28 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               81.33 |       12,295,676.29 |    0.7% |          929.22 |          242.68 |  3.829 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               58.16 |       17,192,968.65 |    0.6% |          641.73 |          173.51 |  3.699 |          10.89 |    0.0% |      0.64 | `3d_gauss deg=10 dim=3 N=1000000`
|    10.8% |              134.34 |        7,443,954.30 |    0.0% |          857.00 |          401.38 |  2.135 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              232.35 |        4,303,781.12 |    0.2% |        2,598.28 |          694.16 |  3.743 |         215.62 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              143.92 |        6,948,461.62 |    2.3% |        1,487.34 |          428.66 |  3.470 |          99.52 |    0.4% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               46.60 |       21,461,370.84 |    1.8% |          414.51 |          138.96 |  2.983 |          11.84 |    2.1% |      0.51 | `3d_yukawa deg=8 dim=3 N=1000000`
|    12.0% |              121.11 |        8,256,724.03 |    0.1% |          857.00 |          361.43 |  2.371 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              262.97 |        3,802,650.43 |    4.4% |        2,763.91 |          784.13 |  3.525 |         248.03 |    0.3% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              198.63 |        5,034,405.05 |    3.1% |        1,726.34 |          589.04 |  2.931 |         122.81 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               46.66 |       21,430,239.62 |    2.4% |          420.92 |          138.86 |  3.031 |          12.21 |    1.4% |      0.52 | `3d_imq deg=8 dim=3 N=1000000`
