# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.0% |               31.79 |       31,454,532.11 |    0.3% |           85.86 |           94.56 |  0.908 |           8.87 |   10.4% |      0.35 | `1d_log1p deg=8 dim=1 N=1000000`
|    35.5% |               42.09 |       23,758,859.59 |    0.5% |          265.00 |          125.48 |  2.112 |          29.00 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=1`
|     0.0% |            4,079.80 |          245,109.77 |    0.8% |       57,652.37 |       12,086.34 |  4.770 |       8,386.53 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=32`
|     0.0% |              236.91 |        4,221,031.16 |    3.0% |        2,288.10 |          702.48 |  3.257 |         312.72 |    0.8% |      0.01 | `2d_bump deg=6 dim=2 N=1024`
|     0.0% |               95.42 |       10,480,443.55 |    3.4% |          251.34 |          284.66 |  0.883 |          18.71 |    4.7% |      1.03 | `2d_bump deg=6 dim=2 N=1000000`
|    28.3% |               52.86 |       18,919,462.52 |    0.1% |          267.00 |          157.91 |  1.691 |          27.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              320.87 |        3,116,484.22 |    0.9% |        4,543.97 |          955.72 |  4.755 |         639.41 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               64.47 |       15,509,952.16 |    1.3% |          627.86 |          191.77 |  3.274 |          64.60 |    0.6% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               50.67 |       19,735,799.61 |    0.3% |          201.77 |          151.18 |  1.335 |          13.23 |    4.4% |      0.57 | `2d_bump deg=8 dim=2 N=1000000`
|    25.0% |               59.86 |       16,704,291.20 |    0.4% |          308.00 |          178.59 |  1.725 |          30.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              165.44 |        6,044,659.96 |    0.2% |        1,525.16 |          493.74 |  3.089 |         185.53 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               57.72 |       17,324,030.42 |    0.9% |          514.51 |          172.17 |  2.988 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               42.92 |       23,296,775.64 |    0.2% |          203.49 |          127.89 |  1.591 |          12.20 |    3.3% |      0.47 | `2d_bump deg=10 dim=2 N=1000000`
|    28.3% |               52.76 |       18,952,236.93 |    0.3% |          253.00 |          157.25 |  1.609 |          26.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.5% |               90.65 |       11,031,884.57 |    0.1% |        1,052.03 |          270.30 |  3.892 |         130.34 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               44.83 |       22,304,346.88 |    0.3% |          451.76 |          133.63 |  3.381 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               28.77 |       34,752,391.64 |    0.3% |          181.47 |           85.76 |  2.116 |          11.79 |    0.0% |      0.32 | `2d_osc deg=8 dim=2 N=1000000`
|    35.3% |               42.38 |       23,598,427.29 |    0.4% |          240.00 |          126.49 |  1.897 |          28.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.1% |               44.02 |       22,719,046.69 |    1.0% |          477.66 |          131.44 |  3.634 |          45.19 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               17.81 |       56,140,397.51 |    0.8% |          179.68 |           52.91 |  3.396 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               20.94 |       47,747,953.45 |    0.3% |          151.03 |           62.40 |  2.420 |           9.75 |    0.0% |      0.23 | `2d_mq deg=8 dim=2 N=1000000`
|    18.3% |               81.50 |       12,270,174.60 |    0.8% |          543.00 |          243.52 |  2.230 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,274.33 |          784,726.25 |    1.9% |       18,359.29 |        3,808.05 |  4.821 |       2,571.72 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              267.83 |        3,733,669.75 |    7.4% |        2,018.43 |          798.36 |  2.528 |         188.31 |    1.4% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~3.0 iters. Increase `minEpochIterations` to e.g. 30)
|     0.0% |               56.80 |       17,606,818.54 |    0.7% |          360.13 |          169.02 |  2.131 |          18.03 |    0.3% |      0.63 | `3d_gauss deg=6 dim=3 N=1000000`
|    11.3% |              132.72 |        7,534,817.47 |    0.7% |          860.00 |          394.94 |  2.178 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              261.22 |        3,828,153.42 |    3.2% |        2,578.88 |          778.67 |  3.312 |         213.06 |    0.1% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              187.10 |        5,344,802.39 |    0.6% |        1,701.51 |          555.45 |  3.063 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               44.48 |       22,479,876.07 |    0.8% |          416.41 |          132.55 |  3.142 |          11.99 |    0.0% |      0.49 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.3% |              205.16 |        4,874,210.25 |    0.6% |        1,403.00 |          608.81 |  2.304 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              413.48 |        2,418,481.01 |    3.3% |        3,744.13 |        1,235.49 |  3.030 |         246.31 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               92.92 |       10,762,417.53 |    1.0% |          928.22 |          275.58 |  3.368 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               60.71 |       16,470,745.77 |    0.2% |          640.73 |          180.68 |  3.546 |          10.89 |    0.0% |      0.67 | `3d_gauss deg=10 dim=3 N=1000000`
|    10.7% |              139.77 |        7,154,551.06 |    0.3% |          860.00 |          416.86 |  2.063 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              249.60 |        4,006,396.24 |    1.2% |        2,597.35 |          741.84 |  3.501 |         215.66 |    0.1% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              161.41 |        6,195,284.57 |    1.4% |        1,486.35 |          479.33 |  3.101 |          99.52 |    0.4% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               50.85 |       19,666,544.30 |    0.7% |          413.51 |          151.61 |  2.728 |          11.84 |    2.1% |      0.56 | `3d_yukawa deg=8 dim=3 N=1000000`
|    10.7% |              139.53 |        7,166,779.69 |    0.1% |          860.00 |          416.81 |  2.063 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              281.31 |        3,554,762.52 |    0.3% |        2,762.97 |          840.20 |  3.288 |         248.06 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              204.03 |        4,901,247.52 |    4.4% |        1,725.35 |          609.16 |  2.832 |         122.81 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               51.18 |       19,539,626.47 |    1.2% |          419.92 |          152.49 |  2.754 |          12.21 |    1.5% |      0.56 | `3d_imq deg=8 dim=3 N=1000000`
