# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               14.95 |       66,904,201.42 |    0.4% |          147.00 |           44.63 |  3.294 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.1% |               21.94 |       45,588,982.66 |    1.1% |          258.13 |           62.71 |  4.116 |          36.66 |    0.1% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               17.28 |       57,854,827.68 |    0.6% |          120.02 |           51.67 |  2.323 |          12.89 |    1.6% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               30.21 |       33,101,064.27 |    0.9% |          110.15 |           88.74 |  1.241 |          11.52 |    4.0% |      0.33 | `1d_runge deg=6 dim=1 N=1000000`
|   123.0% |               12.16 |       82,269,100.64 |    0.1% |          130.00 |           36.30 |  3.581 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.0% |               15.61 |       64,060,776.37 |    1.3% |          189.72 |           46.30 |  4.098 |          25.60 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               10.33 |       96,836,297.91 |    0.4% |          100.12 |           30.85 |  3.246 |          10.38 |    0.2% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               31.19 |       32,062,571.78 |    1.4% |           95.67 |           92.42 |  1.035 |           9.85 |    7.2% |      0.34 | `1d_runge deg=8 dim=1 N=1000000`
|   118.0% |               12.67 |       78,946,656.02 |    0.2% |          129.00 |           37.84 |  3.409 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     3.8% |               12.44 |       80,371,541.60 |    1.0% |          154.25 |           37.09 |  4.159 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.1% |               10.12 |       98,783,534.79 |    9.3% |           92.02 |           29.62 |  3.107 |           9.50 |    0.1% |      0.01 | :wavy_dash: `1d_runge deg=10 dim=1 N=1024` (Unstable with ~89.5 iters. Increase `minEpochIterations` to e.g. 895)
|     0.0% |               26.26 |       38,077,374.37 |    0.3% |           89.05 |           78.31 |  1.137 |           9.16 |    5.8% |      0.29 | `1d_runge deg=10 dim=1 N=1000000`
|   118.9% |               12.57 |       79,567,041.01 |    0.5% |          130.00 |           37.45 |  3.472 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.1% |               15.02 |       66,561,389.11 |    0.3% |          163.84 |           44.83 |  3.655 |          21.48 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               12.12 |       82,505,237.15 |    2.2% |           93.76 |           36.12 |  2.596 |           9.78 |    0.9% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               21.29 |       46,961,805.96 |    1.5% |           90.72 |           63.08 |  1.438 |           9.41 |    3.2% |      0.23 | `1d_erf deg=8 dim=1 N=1000000`
|    88.2% |               16.94 |       59,039,315.77 |    0.2% |          148.00 |           50.57 |  2.927 |          19.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     1.9% |               24.16 |       41,384,029.80 |    0.6% |          239.72 |           72.08 |  3.326 |          33.60 |    0.2% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               16.05 |       62,301,611.82 |    0.2% |          114.35 |           47.92 |  2.386 |          12.12 |    0.9% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               19.15 |       52,209,528.11 |    0.3% |          106.62 |           57.12 |  1.866 |          11.18 |    1.1% |      0.21 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   158.2% |                9.45 |      105,820,847.71 |    0.3% |          111.00 |           28.23 |  3.933 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     4.1% |               11.47 |       87,170,097.80 |    2.4% |          138.38 |           34.05 |  4.064 |          17.60 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |                8.55 |      116,900,783.70 |    0.5% |           85.84 |           25.50 |  3.366 |           8.84 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               28.06 |       35,643,895.39 |    0.4% |           82.04 |           83.48 |  0.983 |           8.38 |   11.6% |      0.31 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
|   108.6% |               13.77 |       72,633,342.22 |    1.0% |          139.00 |           40.98 |  3.392 |          18.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     3.8% |               12.16 |       82,203,887.79 |    3.6% |          145.03 |           36.31 |  3.994 |          18.48 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.2% |                9.27 |      107,908,646.48 |    1.2% |           88.70 |           27.63 |  3.211 |           9.24 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
