# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.0% |              241.71 |        4,137,185.48 |    0.8% |          251.14 |          716.00 |  0.351 |          19.40 |    4.6% |      2.66 | `2d_bump deg=6 dim=2 N=1000000`
|    30.7% |               97.72 |       10,233,813.62 |    0.1% |          277.00 |          291.51 |  0.950 |          29.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |            1,031.61 |          969,361.26 |    0.7% |        6,881.94 |        3,078.09 |  2.236 |         671.69 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |              143.88 |        6,950,295.88 |    3.1% |          710.08 |          429.44 |  1.654 |          68.10 |    1.2% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |              137.49 |        7,273,153.77 |    1.0% |          199.28 |          407.10 |  0.490 |          13.28 |    4.4% |      1.35 | `2d_bump deg=8 dim=2 N=1000000`
|    30.8% |               97.52 |       10,254,032.63 |    0.3% |          303.00 |          291.00 |  1.041 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              333.49 |        2,998,599.61 |    0.9% |        2,000.38 |          991.95 |  2.017 |         195.97 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |              100.85 |        9,915,274.75 |    1.0% |          541.18 |          301.12 |  1.797 |          46.38 |    0.5% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               78.36 |       12,761,277.42 |    5.6% |          206.80 |          233.44 |  0.886 |          12.22 |    3.4% |      1.13 | :wavy_dash: `2d_bump deg=10 dim=2 N=1000000` (Unstable with ~1.0 iters. Increase `minEpochIterations` to e.g. 10)
|    33.4% |               89.71 |       11,147,592.69 |    0.1% |          263.00 |          267.69 |  0.982 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
