# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|    30.8% |               54.45 |       18,365,082.27 |    0.5% |          285.00 |          162.03 |  1.759 |          29.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.2% |              336.07 |        2,975,604.42 |    1.3% |        4,550.82 |          991.68 |  4.589 |         639.41 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               68.74 |       14,547,365.95 |    2.5% |          635.00 |          204.34 |  3.108 |          64.60 |    0.9% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |              103.17 |        9,692,426.92 |    0.7% |          208.93 |          154.72 |  1.350 |          13.23 |    4.4% |      1.15 | `2d_bump deg=8 dim=2 N=1000000`
|    31.4% |               53.44 |       18,713,559.35 |    1.1% |          308.00 |          158.38 |  1.945 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              154.51 |        6,472,109.06 |    3.6% |        1,533.13 |          457.14 |  3.354 |         185.59 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               58.34 |       17,139,700.84 |    1.5% |          522.61 |          172.79 |  3.025 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               86.71 |       11,532,345.27 |    3.7% |          211.61 |          132.13 |  1.602 |          12.20 |    3.3% |      0.82 | `2d_bump deg=10 dim=2 N=1000000`
|    32.9% |               50.95 |       19,625,965.56 |    0.1% |          269.00 |          152.10 |  1.769 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |               88.32 |       11,322,399.97 |    0.3% |        1,059.84 |          263.72 |  4.019 |         130.34 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               43.01 |       23,251,188.22 |    0.7% |          459.76 |          128.29 |  3.584 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               27.91 |       35,829,765.05 |    0.4% |          189.47 |           83.16 |  2.278 |          11.79 |    0.0% |      0.31 | `2d_osc deg=8 dim=2 N=1000000`
|    41.1% |               40.80 |       24,506,853.63 |    0.2% |          237.00 |          121.89 |  1.944 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.2% |               42.62 |       23,463,001.42 |    2.0% |          481.47 |          126.94 |  3.793 |          45.19 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               17.31 |       57,753,401.56 |    0.7% |          183.67 |           51.64 |  3.557 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               20.10 |       49,741,931.40 |    0.7% |          155.03 |           59.98 |  2.584 |           9.75 |    0.0% |      0.22 | `2d_mq deg=8 dim=2 N=1000000`
|    20.8% |               80.71 |       12,389,438.34 |    1.3% |          552.00 |          240.22 |  2.298 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,324.03 |          755,267.81 |    1.4% |       18,364.16 |        3,955.22 |  4.643 |       2,571.72 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              277.57 |        3,602,749.91 |   10.7% |        2,023.42 |          821.51 |  2.463 |         188.31 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~3.2 iters. Increase `minEpochIterations` to e.g. 32)
|     0.0% |               58.23 |       17,174,187.67 |    0.7% |          365.13 |          173.56 |  2.104 |          18.03 |    0.3% |      0.64 | `3d_gauss deg=6 dim=3 N=1000000`
|    12.1% |              138.76 |        7,206,792.50 |    0.1% |          865.00 |          414.48 |  2.087 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              246.71 |        4,053,285.47 |    1.5% |        2,581.75 |          731.48 |  3.529 |         213.06 |    0.1% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              175.71 |        5,691,196.99 |    0.8% |        1,704.51 |          522.36 |  3.263 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               46.10 |       21,693,847.83 |    1.9% |          419.41 |          137.29 |  3.055 |          11.99 |    0.0% |      0.53 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.8% |              215.84 |        4,632,981.79 |    0.3% |        1,406.00 |          641.56 |  2.192 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              392.70 |        2,546,446.46 |    0.5% |        3,746.00 |        1,169.33 |  3.204 |         246.31 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               87.39 |       11,442,566.01 |    0.6% |          930.22 |          260.06 |  3.577 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               61.49 |       16,261,487.05 |    0.7% |          642.73 |          183.46 |  3.503 |          10.89 |    0.0% |      0.68 | `3d_gauss deg=10 dim=3 N=1000000`
|    12.1% |              138.73 |        7,208,042.79 |    0.3% |          865.00 |          414.54 |  2.087 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              235.59 |        4,244,645.96 |    0.3% |        2,600.06 |          703.48 |  3.696 |         215.66 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              149.58 |        6,685,585.95 |    1.2% |        1,489.16 |          443.27 |  3.360 |          99.52 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               49.36 |       20,258,366.29 |    0.8% |          416.35 |          146.93 |  2.834 |          11.84 |    2.1% |      0.54 | `3d_yukawa deg=8 dim=3 N=1000000`
|    12.7% |              131.63 |        7,596,827.24 |    0.1% |          865.00 |          393.11 |  2.200 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              281.33 |        3,554,576.89 |    2.6% |        2,766.06 |          839.17 |  3.296 |         248.06 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              217.27 |        4,602,656.78 |    2.9% |        1,728.46 |          644.46 |  2.682 |         122.81 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               50.60 |       19,762,541.60 |    0.4% |          423.04 |          150.76 |  2.806 |          12.21 |    1.5% |      0.56 | `3d_imq deg=8 dim=3 N=1000000`
